show_id,type,title,rating,duration,listed_in,description,year_added,tagged_description,categorie,emotion
s3322,Movie,LEGENDS OF THE HIDDEN TEMPLE,TV-PG,68 min,Children & Family Movies,"A trio of siblings gets trapped in a secret temple, where they must navigate a risky obstacle course to make it out. Inspired by the â90s game show.",2019,"s3322 A trio of siblings gets trapped in a secret temple, where they must navigate a risky obstacle course to make it out. Inspired by the â90s game show.",Children & Family Movies,fear
s3323,Movie,"Liar, Liar, Vampire",TV-PG,68 min,"Children & Family Movies, Comedies","When a shy teen transfers to a new school, he elects to mix things up by playing along with the rumor that he's a vampire.",2019,"s3323 When a shy teen transfers to a new school, he elects to mix things up by playing along with the rumor that he's a vampire.",Children & Family Movies,fear
s3324,Movie,The Boy Who Cried Werewolf,TV-Y,86 min,"Children & Family Movies, Comedies","When high school girl-geek Jordan becomes a werewolf after moving to Romania, she must elude her own brother, who sets out to slay her.",2019,"s3324 When high school girl-geek Jordan becomes a werewolf after moving to Romania, she must elude her own brother, who sets out to slay her.",Children & Family Movies,disgust
s3325,Movie,The Massively Mixed-Up Middle School Mystery,TV-Y,40 min,"Children & Family Movies, Comedies","After the school principal gets pranked, a curious crew of preteen super sleuths tests their detective skills to solve an underwater ruse.",2019,"s3325 After the school principal gets pranked, a curious crew of preteen super sleuths tests their detective skills to solve an underwater ruse.",Children & Family Movies,neutral
s3326,TV Show,Victorious,TV-G,3 Seasons,"Kids' TV, TV Comedies","When aspiring singer Tori Vega joins the eccentric students at Hollywood Arts High, she struggles to fit in with the amazingly talented teens.",2019,"s3326 When aspiring singer Tori Vega joins the eccentric students at Hollywood Arts High, she struggles to fit in with the amazingly talented teens.",Kids' TV,sadness
s3327,Movie,A Remarkable Tale,TV-MA,94 min,"Comedies, International Movies","The residents of an isolated town look to revive their home's identity when a group of foreigners unexpectedly arrive, bringing culture shock with them.",2019,"s3327 The residents of an isolated town look to revive their home's identity when a group of foreigners unexpectedly arrive, bringing culture shock with them.",Comedies,surprise
s3328,TV Show,A Year In Space,TV-PG,1 Season,"Docuseries, International TV Shows, Science & Nature TV",Two astronauts attempt to brave a life in Earth's orbit on a record-setting mission to see if humans have the endurance to survive a flight to Mars.,2019,s3328 Two astronauts attempt to brave a life in Earth's orbit on a record-setting mission to see if humans have the endurance to survive a flight to Mars.,Docuseries,neutral
s3329,TV Show,Ad Vitam,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","In a future where regeneration technology lets humans live indefinitely, a cop and a troubled young woman investigate a strange wave of youth suicides.",2019,"s3329 In a future where regeneration technology lets humans live indefinitely, a cop and a troubled young woman investigate a strange wave of youth suicides.",Crime TV Shows,neutral
s3330,Movie,American Son,TV-MA,90 min,Dramas,Time passes and tension mounts in a Florida police station as an estranged interracial couple awaits news of their missing teenage son.,2019,s3330 Time passes and tension mounts in a Florida police station as an estranged interracial couple awaits news of their missing teenage son.,Dramas,anger
s3331,TV Show,Billy on the Street,TV-14,4 Seasons,"International TV Shows, Reality TV, TV Comedies","Comedian Billy Eichner sprints through New York with celebrities to stun pedestrians with unapologetic, unfiltered and unique pop culture questions.",2019,"s3331 Comedian Billy Eichner sprints through New York with celebrities to stun pedestrians with unapologetic, unfiltered and unique pop culture questions.",International TV Shows,neutral
s3332,Movie,Christmas in the Heartland,TV-PG,112 min,Dramas,Two girls realize they're both visiting grandparents theyâve never met and decide to switch places to see how the other half lives.,2019,s3332 Two girls realize they're both visiting grandparents theyâve never met and decide to switch places to see how the other half lives.,Dramas,neutral
s3333,Movie,Christmas Survival,TV-MA,101 min,Comedies,"With Christmas just around the corner, sisters Miranda and Lyla bring their families to their childhood home, where rivalries don't take a holiday.",2019,"s3333 With Christmas just around the corner, sisters Miranda and Lyla bring their families to their childhood home, where rivalries don't take a holiday.",Comedies,neutral
s3334,TV Show,CLANNAD,TV-PG,2 Seasons,"Anime Series, Teen TV Shows",Maladjusted high school student Tomoya's life begins to change when he befriends his classmate Nagisa and several other eccentric girls.,2019,s3334 Maladjusted high school student Tomoya's life begins to change when he befriends his classmate Nagisa and several other eccentric girls.,Anime Series,disgust
s3335,Movie,Drive,TV-14,119 min,"Action & Adventure, International Movies","A notorious thief allies with a street racer for a grand heist involving an elaborate game of deceit with authorities, who have their own dirty secrets.",2019,"s3335 A notorious thief allies with a street racer for a grand heist involving an elaborate game of deceit with authorities, who have their own dirty secrets.",Action & Adventure,disgust
s3336,Movie,Fire in Paradise,TV-MA,40 min,Documentaries,"In this documentary, survivors recall the catastrophic 2018 Camp Fire, which razed the town of Paradise and became Californiaâs deadliest wildfire.",2019,"s3336 In this documentary, survivors recall the catastrophic 2018 Camp Fire, which razed the town of Paradise and became Californiaâs deadliest wildfire.",Documentaries,fear
s3337,TV Show,Haikyu!!,TV-14,2 Seasons,"Anime Series, International TV Shows, Teen TV Shows","Inspired by a championship match he sees on TV, junior high schooler Hinata joins a volleyball club and begins training, despite his short height.",2019,"s3337 Inspired by a championship match he sees on TV, junior high schooler Hinata joins a volleyball club and begins training, despite his short height.",Anime Series,neutral
s3338,Movie,Holiday in the Wild,TV-PG,86 min,"Children & Family Movies, Dramas, Romantic Movies","When her husband abruptly ends their marriage, empty nester Kate embarks on a solo second honeymoon in Africa, finding purpose â and potential romance.",2019,"s3338 When her husband abruptly ends their marriage, empty nester Kate embarks on a solo second honeymoon in Africa, finding purpose â and potential romance.",Children & Family Movies,sadness
s3339,Movie,Holly Star,PG,92 min,"Children & Family Movies, Comedies, Romantic Movies","Home for the holidays, a broke puppeteer knows thereâs treasure buried somewhere under her town. To find it, all she has to do is die â almost.",2019,"s3339 Home for the holidays, a broke puppeteer knows thereâs treasure buried somewhere under her town. To find it, all she has to do is die â almost.",Children & Family Movies,sadness
s3340,TV Show,"Love, Chunibyo & Other Delusions!",TV-PG,2 Seasons,"Anime Series, Romantic TV Shows, Teen TV Shows","High schooler Yuta wants to leave his past as a delusional weirdo behind. But his classmate Rikka has her own delusions, and she's interested in his.",2019,"s3340 High schooler Yuta wants to leave his past as a delusional weirdo behind. But his classmate Rikka has her own delusions, and she's interested in his.",Anime Series,neutral
s3341,TV Show,Maid-Sama!,TV-14,1 Season,"Anime Series, Romantic TV Shows","To keep the boys in line, student council president Misaki runs the school with an iron fist â while secretly working as a waitress at a maid cafÃ©.",2019,"s3341 To keep the boys in line, student council president Misaki runs the school with an iron fist â while secretly working as a waitress at a maid cafÃ©.",Anime Series,disgust
s3342,TV Show,Mobile Suit Gundam: Iron-Blooded Orphans,TV-14,2 Seasons,"Anime Series, International TV Shows","On a terraformed post-disaster Mars, a group of child security agents rebel against the adults who betrayed them and the oppressive Earth government.",2019,"s3342 On a terraformed post-disaster Mars, a group of child security agents rebel against the adults who betrayed them and the oppressive Earth government.",Anime Series,anger
s3343,TV Show,Queer Eye: We're in Japan!,TV-14,1 Season,"International TV Shows, Reality TV","The Fab Five touch down in Tokyo to spread the joy, explore the culture, and help four Japanese men and women find the confidence to be themselves.",2019,"s3343 The Fab Five touch down in Tokyo to spread the joy, explore the culture, and help four Japanese men and women find the confidence to be themselves.",International TV Shows,joy
s3344,Movie,Santa Girl,TV-PG,91 min,"Children & Family Movies, Comedies, Romantic Movies","Fleeing the family business and an arranged marriage, Santaâs daughter chooses a magical adventure of her own: College.",2019,"s3344 Fleeing the family business and an arranged marriage, Santaâs daughter chooses a magical adventure of her own: College.",Children & Family Movies,joy
s3345,TV Show,The Boulet Brothers Dragula,TV-MA,2 Seasons,Reality TV,"Ten queens must slay the competition and put their fiercest, filthiest faces forward for the chance to be crowned the world's next drag supermonster.",2019,"s3345 Ten queens must slay the competition and put their fiercest, filthiest faces forward for the chance to be crowned the world's next drag supermonster.",Reality TV,disgust
s3346,TV Show,The Deep,TV-Y7,3 Seasons,Kids' TV,"The Nektons are a family of underwater explorers who discover the hidden secrets of the oceans, including sunken cities, sea creatures and pirates.",2019,"s3346 The Nektons are a family of underwater explorers who discover the hidden secrets of the oceans, including sunken cities, sea creatures and pirates.",Kids' TV,neutral
s3347,Movie,The House of Flowers Presents: The Funeral,TV-MA,36 min,Movies,The de la Mora siblings publicly mourn the death of their mother amid multiple surprises and mishaps at Virginia's funeral.,2019,s3347 The de la Mora siblings publicly mourn the death of their mother amid multiple surprises and mishaps at Virginia's funeral.,Movies,sadness
s3348,Movie,The King,R,141 min,Dramas,Wayward Prince Hal must turn from carouser to warrior king as he faces hostilities from inside and outside the castle walls in the battle for England.,2019,s3348 Wayward Prince Hal must turn from carouser to warrior king as he faces hostilities from inside and outside the castle walls in the battle for England.,Dramas,neutral
s3349,Movie,The Man Without Gravity,TV-MA,107 min,"Dramas, International Movies",A gravity-defying boy raised in seclusion matures into an extraordinary man â and an international celebrity â who longs for human connection.,2019,s3349 A gravity-defying boy raised in seclusion matures into an extraordinary man â and an international celebrity â who longs for human connection.,Dramas,joy
s3350,Movie,The Old Thieves: The Legend of Artegios,TV-MA,97 min,"Documentaries, International Movies","While carrying out prison sentences, five notorious thieves in Mexico City share their principles, preferred methods and respect for the craft.",2019,"s3350 While carrying out prison sentences, five notorious thieves in Mexico City share their principles, preferred methods and respect for the craft.",Documentaries,disgust
s3351,Movie,True: Grabbleapple Harvest,TV-Y,24 min,Children & Family Movies,It's Grabbleapple harvest season in the Rainbow Kingdom ... but Glummy Glooma doesn't want autumn to come. Can True and her friends save the festival?,2019,s3351 It's Grabbleapple harvest season in the Rainbow Kingdom ... but Glummy Glooma doesn't want autumn to come. Can True and her friends save the festival?,Children & Family Movies,sadness
s3352,TV Show,Vientos de agua,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas","JosÃ© Olaya, a Spanish miner, emigrates to Argentina in 1934, while his son, an architect, moves to Spain after Argentina's economic collapse in 2001.",2019,"s3352 JosÃ© Olaya, a Spanish miner, emigrates to Argentina in 1934, while his son, an architect, moves to Spain after Argentina's economic collapse in 2001.",International TV Shows,sadness
s3353,TV Show,We Are the Wave,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries","A mysterious classmate leads four idealistic teens in a revolt against a rising tide of nationalistic fervor, but their movement takes a dark turn.",2019,"s3353 A mysterious classmate leads four idealistic teens in a revolt against a rising tide of nationalistic fervor, but their movement takes a dark turn.",International TV Shows,fear
s3354,Movie,ZoÃ©: Panoramas,TV-MA,89 min,"Documentaries, International Movies, Music & Musicals",This introspective rockumentary follows the career triumphs and intimate moments of legendary Mexican band ZoÃ© as they embark on a global tour.,2019,s3354 This introspective rockumentary follows the career triumphs and intimate moments of legendary Mexican band ZoÃ© as they embark on a global tour.,Documentaries,neutral
s3355,Movie,Grego Rossello: Disculpe las molestias,TV-MA,65 min,Stand-Up Comedy,"Argentine comedian Grego Rossello takes the stage in Buenos Aires to share his takes on modern stardom, airline dining, brotherly love and more.",2019,"s3355 Argentine comedian Grego Rossello takes the stage in Buenos Aires to share his takes on modern stardom, airline dining, brotherly love and more.",Stand-Up Comedy,neutral
s3356,TV Show,KENGAN ASHURA,TV-MA,2 Seasons,"Anime Series, International TV Shows","Ohma Tokita enters a hidden world where corporate disputes are settled in brutal gladiator bouts. Forget the money, he just wants to fight â and win.",2019,"s3356 Ohma Tokita enters a hidden world where corporate disputes are settled in brutal gladiator bouts. Forget the money, he just wants to fight â and win.",Anime Series,disgust
s3357,TV Show,Nowhere Man,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","Two nefarious schemes taking place 10 years apart entangle a dauntless triad member, who must break out of prison to rescue a loved one.",2019,"s3357 Two nefarious schemes taking place 10 years apart entangle a dauntless triad member, who must break out of prison to rescue a loved one.",Crime TV Shows,neutral
s3358,TV Show,Sleepless Society: Bedtime Wishes,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","During a holiday stay at a hotel resort, a flight attendant encounters a wealthy, mysterious man with two different personas.",2019,"s3358 During a holiday stay at a hotel resort, a flight attendant encounters a wealthy, mysterious man with two different personas.",Crime TV Shows,fear
s3359,TV Show,"Bring It On, Ghost",TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",A college student with psychic abilities takes in an amnesiac ghost as his roommate â who ends up helping him hunt down spooky spirits.,2019,s3359 A college student with psychic abilities takes in an amnesiac ghost as his roommate â who ends up helping him hunt down spooky spirits.,International TV Shows,fear
s3360,Movie,Mehandi Circus,TV-MA,126 min,"Dramas, International Movies, Romantic Movies","In the early 1990s, the love between a cassette shop owner and a traveling circus performer challenges caste barriers and disapproving parents.",2019,"s3360 In the early 1990s, the love between a cassette shop owner and a traveling circus performer challenges caste barriers and disapproving parents.",Dramas,disgust
s3361,TV Show,Tomorrow with You,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",The head of a real estate firm with the ability to travel through time by taking the subway marries a photographer to try and change his future.,2019,s3361 The head of a real estate firm with the ability to travel through time by taking the subway marries a photographer to try and change his future.,International TV Shows,disgust
s3362,TV Show,Tunnel,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",A detective finds himself 30 years in the future and must solve a string of grisly crimes before he can return to the past.,2019,s3362 A detective finds himself 30 years in the future and must solve a string of grisly crimes before he can return to the past.,Crime TV Shows,anger
s3363,Movie,Arsenio Hall: Smart & Classy,TV-MA,63 min,Stand-Up Comedy,"In his first stand-up special, Arsenio Hall discusses getting older, the changing times and culture, social issues and even bothersome baby toes.",2019,"s3363 In his first stand-up special, Arsenio Hall discusses getting older, the changing times and culture, social issues and even bothersome baby toes.",Stand-Up Comedy,neutral
s3364,TV Show,Shine On with Reese,TV-MA,1 Season,"Docuseries, Stand-Up Comedy & Talk Shows","In a talk show straight from the heart, actor and producer Reese Witherspoon visits with groundbreaking women to discuss their inspiring journeys.",2019,"s3364 In a talk show straight from the heart, actor and producer Reese Witherspoon visits with groundbreaking women to discuss their inspiring journeys.",Docuseries,neutral
s3365,Movie,The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie,TV-14,14 min,"Documentaries, International Movies","Aaron Paul, Vince Gilligan and other cast members, producers and crew share stories and footage from the making of ""El Camino.""",2019,"s3365 Aaron Paul, Vince Gilligan and other cast members, producers and crew share stories and footage from the making of ""El Camino.""",Documentaries,neutral
s3366,Movie,A 3 Minute Hug,TV-PG,28 min,"Documentaries, International Movies",This documentary captures the joy and heartbreak of families separated by the U.S.-Mexico border sharing a short but bittersweet reunion in 2018.,2019,s3366 This documentary captures the joy and heartbreak of families separated by the U.S.-Mexico border sharing a short but bittersweet reunion in 2018.,Documentaries,sadness
s3367,Movie,Little Miss Sumo,TV-G,20 min,"Documentaries, International Movies, Sports Movies","In an ancient sport traditionally reserved for men, 20-year-old female sumo prodigy Hiyori attempts to revolutionize Japanâs national pastime.",2019,"s3367 In an ancient sport traditionally reserved for men, 20-year-old female sumo prodigy Hiyori attempts to revolutionize Japanâs national pastime.",Documentaries,neutral
s3368,TV Show,"Wait, My Youth",TV-PG,1 Season,"International TV Shows, Romantic TV Shows, Teen TV Shows","Six hopeful friends journey into adulthood to create the moments that pull them together, draw them apart and make them fall in love.",2019,"s3368 Six hopeful friends journey into adulthood to create the moments that pull them together, draw them apart and make them fall in love.",International TV Shows,neutral
s3369,TV Show,A Little Thing Called First Love,TV-G,1 Season,"International TV Shows, Romantic TV Shows, Teen TV Shows",A shy college student with a knack for drawing develops a crush on a musically gifted classmate and embarks on a journey of self-discovery.,2019,s3369 A shy college student with a knack for drawing develops a crush on a musically gifted classmate and embarks on a journey of self-discovery.,International TV Shows,fear
s3370,TV Show,BoJack Horseman,TV-MA,6 Seasons,TV Comedies,"Meet the most beloved sitcom horse of the '90s, 20 years later. Heâs a curmudgeon with a heart of...not quite gold...but something like gold. Copper?",2019,"s3370 Meet the most beloved sitcom horse of the '90s, 20 years later. Heâs a curmudgeon with a heart of...not quite gold...but something like gold. Copper?",TV Comedies,neutral
s3371,TV Show,Brotherhood,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","An honest lawyer reaches a moral crossroads after the cops force her to inform on her incarcerated brother, the leader of a rising criminal faction.",2019,"s3371 An honest lawyer reaches a moral crossroads after the cops force her to inform on her incarcerated brother, the leader of a rising criminal faction.",Crime TV Shows,disgust
s3372,Movie,Consequences,TV-MA,106 min,"Dramas, International Movies, Thrillers",Secrets bubble to the surface after a sensual encounter and an unforeseen crime entangle two friends and a woman caught between them.,2019,s3372 Secrets bubble to the surface after a sensual encounter and an unforeseen crime entangle two friends and a woman caught between them.,Dramas,disgust
s3373,Movie,Dolemite Is My Name,R,118 min,"Comedies, Dramas","In 1970s LA, struggling comedian Rudy Ray Moore hits it big with his raunchy alter ego, Dolemite, then risks it all to take his act to the big screen.",2019,"s3373 In 1970s LA, struggling comedian Rudy Ray Moore hits it big with his raunchy alter ego, Dolemite, then risks it all to take his act to the big screen.",Comedies,disgust
s3374,TV Show,Drug Squad: Costa del Sol,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Four intrepid and impulsive police officers form a special narcotics unit to combat the birth of drug trafficking on Spain's Costa del Sol in the 1970s.,2019,s3374 Four intrepid and impulsive police officers form a special narcotics unit to combat the birth of drug trafficking on Spain's Costa del Sol in the 1970s.,Crime TV Shows,disgust
s3375,Movie,It Takes a Lunatic,TV-MA,127 min,Documentaries,"The extraordinary life of beloved acting teacher and theatre producer Wynn Handman is recalled in this portrait of a provocative, innovative artist.",2019,"s3375 The extraordinary life of beloved acting teacher and theatre producer Wynn Handman is recalled in this portrait of a provocative, innovative artist.",Documentaries,neutral
s3376,TV Show,MonzÃ³n: A Knockout Blow,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","This dramatization tells the story of Argentine boxing champion Carlos MonzÃ³n, as well as the investigation into the death of his wife Alicia MuÃ±iz.",2019,"s3376 This dramatization tells the story of Argentine boxing champion Carlos MonzÃ³n, as well as the investigation into the death of his wife Alicia MuÃ±iz.",Crime TV Shows,sadness
s3377,Movie,My Next Guest with David Letterman and Shah Rukh Khan,TV-PG,61 min,International Movies,"""King of Bollywood"" Shah Rukh Khan opens up about his rise to fame, his family and his billions of fans as he and Dave meet up in Mumbai and New York.",2019,"s3377 ""King of Bollywood"" Shah Rukh Khan opens up about his rise to fame, his family and his billions of fans as he and Dave meet up in Mumbai and New York.",International Movies,joy
s3378,TV Show,Nailed It! France,TV-14,1 Season,"International TV Shows, Reality TV","On this fun and funny competition show, home bakers talented in catastrophe struggle to re-create dessert masterpieces and win a 5,000 euro prize.",2019,"s3378 On this fun and funny competition show, home bakers talented in catastrophe struggle to re-create dessert masterpieces and win a 5,000 euro prize.",International TV Shows,joy
s3379,TV Show,Nailed It! Spain,TV-PG,1 Season,"International TV Shows, Reality TV, Spanish-Language TV Shows","On this competition show, novice bakers try to avoid a fiasco while duplicating stunning sweets. At stake are a trophy and 5,000 euros.",2019,"s3379 On this competition show, novice bakers try to avoid a fiasco while duplicating stunning sweets. At stake are a trophy and 5,000 euros.",International TV Shows,neutral
s3380,Movie,Rattlesnake,TV-MA,86 min,"Horror Movies, Independent Movies, Thrillers","After a mysterious woman saves her daughter from a deadly snakebite, a single mother must repay the debt by killing a stranger before sundown.",2019,"s3380 After a mysterious woman saves her daughter from a deadly snakebite, a single mother must repay the debt by killing a stranger before sundown.",Horror Movies,disgust
s3381,Movie,The Awakening of Motti Wolkenbruch,TV-MA,94 min,"Comedies, Dramas, International Movies","Pressured to marry a nice Orthodox Jewish woman, Motti is thrown for a loop when he falls for classmate Laura, who his mother will never approve of.",2019,"s3381 Pressured to marry a nice Orthodox Jewish woman, Motti is thrown for a loop when he falls for classmate Laura, who his mother will never approve of.",Comedies,disgust
s3382,TV Show,The Untamed,TV-14,1 Season,"International TV Shows, TV Action & Adventure, TV Mysteries","In a magical world of inter-clan rivalry, two soulmates face treacherous schemes and uncover a dark mystery linked to a tragic event in the past.",2019,"s3382 In a magical world of inter-clan rivalry, two soulmates face treacherous schemes and uncover a dark mystery linked to a tragic event in the past.",International TV Shows,fear
s3383,TV Show,Daybreak,TV-MA,1 Season,"TV Action & Adventure, TV Comedies, TV Horror","Living his best life in post-apocalyptic LA, a slacker strives to find the girl of his dreams while outwitting mindless ghouls and cliquish gangs.",2019,"s3383 Living his best life in post-apocalyptic LA, a slacker strives to find the girl of his dreams while outwitting mindless ghouls and cliquish gangs.",Action & Adventure,neutral
s3384,Movie,Echo in the Canyon,PG-13,82 min,"Documentaries, Music & Musicals","An affectionate documentary looks back at the mid-1960s, when Hollywoodâs Laurel Canyon was a creative nexus for young, innovative musicians.",2019,"s3384 An affectionate documentary looks back at the mid-1960s, when Hollywoodâs Laurel Canyon was a creative nexus for young, innovative musicians.",Documentaries,joy
s3385,Movie,Revenge of the Pontianak,TV-14,92 min,"Horror Movies, International Movies",A wedding in a Malaysian village leaves out one guest: a scorned vampire ghost bent on settling a secret score with the groom and anyone in her way.,2019,s3385 A wedding in a Malaysian village leaves out one guest: a scorned vampire ghost bent on settling a secret score with the groom and anyone in her way.,Horror Movies,disgust
s3386,TV Show,"Breakfast, Lunch & Dinner",TV-MA,1 Season,Docuseries,"Chef David Chang takes his insatiable curiosity about food, culture and identity on the road, in the convivial company of fun-loving celebrity guests.",2019,"s3386 Chef David Chang takes his insatiable curiosity about food, culture and identity on the road, in the convivial company of fun-loving celebrity guests.",Docuseries,joy
s3387,Movie,Dancing with the Birds,TV-PG,52 min,Documentaries,"From ruffling their majestic feathers to nailing im-peck-able courtship routines, birds in paradise flaunt their best moves in hopes of landing a mate.",2019,"s3387 From ruffling their majestic feathers to nailing im-peck-able courtship routines, birds in paradise flaunt their best moves in hopes of landing a mate.",Documentaries,neutral
s3388,Movie,Master Z: The Ip Man Legacy,TV-14,108 min,"Action & Adventure, International Movies","In this spin-off, a martial arts expert once defeated by Ip Man is forced to abandon his reclusive lifestyle to combat a rising Chinese triad.",2019,"s3388 In this spin-off, a martial arts expert once defeated by Ip Man is forced to abandon his reclusive lifestyle to combat a rising Chinese triad.",Action & Adventure,disgust
s3389,Movie,Jenny Slate: Stage Fright,TV-MA,67 min,"Documentaries, Stand-Up Comedy","Jenny Slate's first stand-up special is a mix of stage time, funny stories about adulthood and conversations with family in her childhood home.",2019,"s3389 Jenny Slate's first stand-up special is a mix of stage time, funny stories about adulthood and conversations with family in her childhood home.",Documentaries,joy
s3390,Movie,Free Fire,R,91 min,"Action & Adventure, Comedies, Independent Movies",A sketchy arms transaction in a deserted warehouse turns into a free-for-all when the two sides engage in a take-no-prisoners shootout.,2019,s3390 A sketchy arms transaction in a deserted warehouse turns into a free-for-all when the two sides engage in a take-no-prisoners shootout.,Action & Adventure,fear
s3391,Movie,Little Singham: Kaal Ki Tabaahi,TV-Y7,66 min,"Children & Family Movies, Comedies",Kaal is back â bigger and badder than ever! Can Little Singham fight the battle of a lifetime to stop the demonâs plans to wreak havoc on earth?,2019,s3391 Kaal is back â bigger and badder than ever! Can Little Singham fight the battle of a lifetime to stop the demonâs plans to wreak havoc on earth?,Children & Family Movies,fear
s3392,Movie,The Command,PG-13,118 min,"Dramas, International Movies, Thrillers",For the crew trapped aboard a sunken Russian submarine the deadliest threat is the bureaucracy on land. Based on a true story.,2019,s3392 For the crew trapped aboard a sunken Russian submarine the deadliest threat is the bureaucracy on land. Based on a true story.,Dramas,fear
s3393,Movie,10 Days in Sun City,TV-14,87 min,"Comedies, International Movies, Romantic Movies","After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.",2019,"s3393 After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.",Comedies,joy
s3394,TV Show,"ChuChu TV Kids Songs, Learning Videos & Bedtime Stories",TV-Y,1 Season,Kids' TV,This educational series for tiny tots features a toe-tapping spin on nursery rhymes with upbeat tunes and a diverse set of easy-to-follow lessons.,2019,s3394 This educational series for tiny tots features a toe-tapping spin on nursery rhymes with upbeat tunes and a diverse set of easy-to-follow lessons.,Kids' TV,joy
s3395,Movie,ChuChuTV Bedtime Stories & Moral Stories for Kids (English),TV-Y,47 min,Children & Family Movies,"ChuChu teaches some bullies a lesson, Cussly learns the value of teamwork and ChaCha realizes thereâs more to playtime than TV and video games.",2019,"s3395 ChuChu teaches some bullies a lesson, Cussly learns the value of teamwork and ChaCha realizes thereâs more to playtime than TV and video games.",Children & Family Movies,neutral
s3396,Movie,ChuChuTV Bedtime Stories & Moral Stories for Kids (Hindi),TV-Y,56 min,Children & Family Movies,"In this collection of stories, ChuChu and her pals meet a man in need, Chiku must change a bad habit and ChaCha gets a lesson in management.",2019,"s3396 In this collection of stories, ChuChu and her pals meet a man in need, Chiku must change a bad habit and ChaCha gets a lesson in management.",Children & Family Movies,neutral
s3397,Movie,ChuChuTV Surprise Eggs Learning Videos (English),TV-Y,61 min,Children & Family Movies,"From colors and letters to animals of all kinds, each egg holds a fun-filled lesson waiting to be learned. ChuChu and friends are opening them all!",2019,"s3397 From colors and letters to animals of all kinds, each egg holds a fun-filled lesson waiting to be learned. ChuChu and friends are opening them all!",Children & Family Movies,joy
s3398,Movie,ChuChuTV Surprise Eggs Learning Videos (Hindi),TV-Y,34 min,Children & Family Movies,Magic elephant Mr. Harlo uses playtime to help the children discover various surprises hidden inside colorful eggs.,2019,s3398 Magic elephant Mr. Harlo uses playtime to help the children discover various surprises hidden inside colorful eggs.,Children & Family Movies,neutral
s3399,Movie,Eli,TV-MA,98 min,Horror Movies,"With his desperate parents in tow, an 11-year-old boy with a debilitating illness checks into an isolated clinic to undergo experimental therapy.",2019,"s3399 With his desperate parents in tow, an 11-year-old boy with a debilitating illness checks into an isolated clinic to undergo experimental therapy.",Horror Movies,sadness
s3400,Movie,In My Country,TV-MA,99 min,"Dramas, International Movies","A teacher turns to a dubious man to raise money for her daughter's life-saving surgery, a crisis that is unexpectedly catapulted to a national stage.",2019,"s3400 A teacher turns to a dubious man to raise money for her daughter's life-saving surgery, a crisis that is unexpectedly catapulted to a national stage.",Dramas,surprise
s3401,TV Show,Interior Design Masters,TV-PG,1 Season,"British TV Shows, International TV Shows, Reality TV",Aspiring interior designers transform a variety of spaces from dowdy to delightful as they vie for a life-changing contract with a top London hotel.,2019,s3401 Aspiring interior designers transform a variety of spaces from dowdy to delightful as they vie for a life-changing contract with a top London hotel.,British TV Shows,joy
s3402,TV Show,Little Baby Bum: Nursery Rhyme Friends,TV-Y,2 Seasons,"British TV Shows, Kids' TV","Twinkle, Mia, Jacus and the rest of the Nursery Rhyme Friends perform catchy tunes for the little ones.",2019,"s3402 Twinkle, Mia, Jacus and the rest of the Nursery Rhyme Friends perform catchy tunes for the little ones.",British TV Shows,joy
s3403,Movie,"Love, Surreal and Odd",TV-14,95 min,"Comedies, International Movies, Romantic Movies","When a group of people meets at the same party, they form four different relationships, each experiencing similar phases of love.",2019,"s3403 When a group of people meets at the same party, they form four different relationships, each experiencing similar phases of love.",Comedies,neutral
s3404,TV Show,Mighty Little Bheem: Diwali,TV-Y,1 Season,"Kids' TV, TV Comedies","From decorating his home to devouring sweets, join Bheem as he makes merry â and a bit of mischief â while the festival of lights is in full swing.",2019,"s3404 From decorating his home to devouring sweets, join Bheem as he makes merry â and a bit of mischief â while the festival of lights is in full swing.",Kids' TV,joy
s3405,TV Show,MONKART,TV-Y7,1 Season,"Kids' TV, Korean TV Shows",Jin and his dragon monster Draka set out on a racing adventure and try to save the kingdom from evil forces.,2019,s3405 Jin and his dragon monster Draka set out on a racing adventure and try to save the kingdom from evil forces.,Kids' TV,neutral
